date,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera
5/2/2017,knife,48,Male,Black,Irving,TX,FALSE,attack,Not fleeing,FALSE
3/23/2018,incendiary device,48,Male,Hispanic,Douglas,AZ,FALSE,other,Not fleeing,FALSE
3/24/2016,gun and knife,48,Male,Hispanic,Pueblo,CO,FALSE,other,Not fleeing,TRUE
4/21/2016,knife,48,Male,Hispanic,Everett,MA,FALSE,other,Not fleeing,FALSE
2/16/2017,gun,48,Male,Hispanic,San Antonio,TX,FALSE,attack,Not fleeing,FALSE
1/16/2015,knife,48,Male,Other,Fremont,CA,FALSE,other,Not fleeing,FALSE
9/23/2015,knife,48,Male,Other,Salt Lake City,UT,FALSE,attack,Not fleeing,FALSE
11/15/2017,gun,48,Male,White,Anchorage,AK,FALSE,attack,Car,FALSE
3/2/2018,gun,48,Male,White,Scottsdale,AZ,FALSE,other,Not fleeing,FALSE
1/15/2017,gun,48,Male,White,Azusa,CA,FALSE,attack,Not fleeing,FALSE
8/22/2017,gun,48,Male,White,Los Angeles,CA,FALSE,other,Not fleeing,FALSE
11/6/2017,gun,48,Male,White,Barstow,CA,FALSE,attack,Car,FALSE
6/8/2017,gun,48,Male,White,Loveland,CO,FALSE,attack,,FALSE
9/15/2017,vehicle,48,Male,White,Hallandale Beach,FL,TRUE,attack,Car,FALSE
9/27/2017,gun,48,Male,White,Griffin,GA,TRUE,attack,Not fleeing,FALSE
7/29/2017,gun,48,Male,White,Melba,ID,FALSE,attack,Car,FALSE
4/3/2016,undetermined,48,Male,White,Raceland,LA,FALSE,undetermined,,FALSE
9/26/2016,gun,48,Male,White,Burnsville,MN,TRUE,other,Not fleeing,TRUE
2/16/2016,vehicle,48,Male,White,Republic,MO,FALSE,attack,Car,FALSE
4/29/2016,vehicle,48,Male,White,Jackson,MO,FALSE,attack,Car,FALSE
7/11/2017,gun,48,Male,White,Poplar Bluff,MO,FALSE,other,Not fleeing,FALSE
1/30/2015,gun,48,Male,White,Billings,MT,FALSE,attack,Foot,FALSE
11/6/2015,undetermined,48,Male,White,Wadesboro,NC,FALSE,undetermined,Not fleeing,FALSE
6/17/2015,gun,48,Male,White,Hobbs,NM,TRUE,attack,Not fleeing,FALSE
3/11/2018,,48,Male,White,Fort Sumner,NM,FALSE,other,,FALSE
7/30/2015,gun,48,Male,White,Gardnerville Ranchos,NV,FALSE,attack,Not fleeing,FALSE
12/14/2015,gun,48,Female,White,Las Vegas,NV,TRUE,attack,Not fleeing,FALSE
5/15/2017,crossbow,48,Male,White,Wewoka,OK,FALSE,attack,Not fleeing,FALSE
4/7/2018,knife,48,Male,White,Portland,OR,TRUE,other,Other,FALSE
6/17/2017,gun,48,Male,White,Rapid City,SD,FALSE,attack,Not fleeing,FALSE
12/17/2016,knife,48,Male,White,Arlington,TN,FALSE,undetermined,Not fleeing,FALSE
9/11/2017,gun,48,Male,White,Hixson,TN,FALSE,attack,Car,FALSE
8/11/2015,knife,48,Male,White,Waco,TX,FALSE,other,Not fleeing,FALSE
5/14/2017,gun,48,Male,White,Pulaski,VA,TRUE,attack,Not fleeing,FALSE
1/28/2017,toy weapon,48,Male,White,Eau Claire,WI,TRUE,attack,Not fleeing,FALSE
11/5/2015,gun,48,Male,White,Morgantown,WV,FALSE,attack,Not fleeing,FALSE
12/6/2015,knife,48,Male,White,Laramie,WY,TRUE,other,Not fleeing,FALSE
8/3/2015,gun,49,Male,Black,Oakland,CA,FALSE,attack,Not fleeing,FALSE
4/6/2017,gun,49,Male,Black,Largo,FL,FALSE,attack,Not fleeing,FALSE
11/5/2017,vehicle,49,Male,Black,Rockford,IL,FALSE,undetermined,Car,FALSE
2/10/2015,gun,49,Male,Black,Whitehaven,TN,FALSE,attack,Not fleeing,FALSE
3/16/2018,gun,49,Male,Black,Clarksville,TN,FALSE,attack,Not fleeing,FALSE
3/2/2018,unknown weapon,49,Male,Black,Clarksville,TX,FALSE,attack,Not fleeing,TRUE
6/7/2016,gun,49,Male,Black,Norman,VA,FALSE,other,Not fleeing,FALSE
7/23/2016,knife,49,Male,Black,Milwaukee,WI,FALSE,attack,Not fleeing,TRUE
12/12/2015,knife,49,Male,Hispanic,San Bernardino,CA,FALSE,attack,,FALSE
9/4/2015,metal pipe,49,Male,Hispanic,French Lick,IN,FALSE,attack,Not fleeing,FALSE
11/23/2015,knife,49,Male,Hispanic,Corpus Christi,TX,FALSE,other,Not fleeing,TRUE
1/12/2016,knife,49,Male,Unknown,Spenard,AK,TRUE,other,Not fleeing,FALSE
10/24/2015,undetermined,49,Male,White,Kenai Peninsula,AK,FALSE,attack,Not fleeing,FALSE
10/7/2016,toy weapon,49,Male,White,Benton,AR,FALSE,other,Not fleeing,FALSE
1/2/2018,gun,49,Male,White,Ozark,AR,TRUE,attack,Not fleeing,FALSE
3/18/2015,gun,49,Female,White,Glendale,AZ,FALSE,attack,Not fleeing,FALSE
7/5/2016,undetermined,49,Male,White,Temecula,CA,FALSE,other,Car,FALSE
4/30/2017,gun,49,Male,White,University City,CA,FALSE,attack,Not fleeing,FALSE
8/10/2017,gun,49,Male,White,Los Angeles,CA,FALSE,attack,Not fleeing,FALSE
9/20/2016,gun,49,Male,White,Westminster,CO,FALSE,other,Foot,FALSE
11/5/2016,knife,49,Male,White,Lealman,FL,TRUE,other,Not fleeing,FALSE
12/6/2016,oar,49,Male,White,Fruitland Park,FL,FALSE,attack,Other,FALSE
1/19/2015,knife,49,Male,White,Weymouth,MA,FALSE,attack,Not fleeing,FALSE
10/10/2015,vehicle,49,Male,White,Beverly,MA,TRUE,attack,Not fleeing,FALSE
7/23/2017,toy weapon,49,Male,White,Spencer,MA,FALSE,attack,Car,FALSE
11/1/2015,gun,49,Male,White,Hutchinson,MN,FALSE,attack,Not fleeing,FALSE
2/26/2015,unarmed,49,Male,White,Gulfport,MS,FALSE,other,Not fleeing,FALSE
3/1/2015,gun,49,Male,White,Barton,MS,FALSE,attack,Not fleeing,FALSE
2/3/2018,gun,49,Male,White,Gulfport,MS,FALSE,attack,Foot,FALSE
10/3/2016,gun,49,Male,White,Ventnor,NJ,FALSE,other,Not fleeing,FALSE
8/12/2015,gun,49,Male,White,Hobbs,NM,FALSE,undetermined,Car,FALSE
6/26/2015,gun,49,Male,White,Malone,NY,FALSE,attack,Other,FALSE
3/7/2016,gun,49,Male,White,Rochester,NY,TRUE,attack,Not fleeing,FALSE
8/12/2016,hammer,49,Male,White,Tahlequah,OK,TRUE,other,Not fleeing,TRUE
3/17/2015,gun,49,Male,White,Medford,OR,TRUE,attack,Not fleeing,FALSE
3/30/2015,gun,49,Male,White,Eugene,OR,TRUE,attack,Not fleeing,FALSE
4/24/2015,gun,49,Male,White,Eugene,OR,FALSE,attack,Not fleeing,FALSE
6/21/2015,cordless drill,49,Male,White,Houston,TX,TRUE,other,Not fleeing,FALSE
6/23/2015,knife,49,Male,White,Weatherford,TX,TRUE,other,Foot,FALSE
8/23/2016,gun,49,Male,White,Myra,TX,FALSE,other,Car,FALSE
1/8/2015,gun,49,Male,White,Syracuse,UT,FALSE,attack,Not fleeing,TRUE
1/19/2017,gun,49,Male,White,Woodford,VA,TRUE,other,Not fleeing,FALSE
12/6/2017,gun,49,Male,White,Cheyenne,WY,FALSE,attack,Not fleeing,FALSE
5/28/2016,gun,50,Male,Black,Eastaboga,AL,FALSE,attack,Not fleeing,FALSE
7/11/2016,knife,50,Male,Black,Sacramento,CA,TRUE,other,Not fleeing,TRUE
2/6/2017,gun,50,Male,Black,Commerce City,CO,TRUE,attack,Not fleeing,FALSE
7/21/2016,gun,50,Male,Black,Chicago,IL,FALSE,attack,Not fleeing,FALSE
5/10/2017,gun,50,Female,Black,St. Louis,MO,FALSE,attack,Not fleeing,FALSE
1/30/2017,gun,50,Male,Black,Kiowa,OK,FALSE,other,Not fleeing,FALSE
4/4/2015,unarmed,50,Male,Black,North Charleston,SC,FALSE,other,Foot,FALSE
8/13/2017,knife,50,Male,Black,Salt Lake City,UT,FALSE,other,Foot,TRUE
6/5/2015,gun,50,Male,Hispanic,Santa Maria,CA,FALSE,attack,Not fleeing,FALSE
6/19/2015,gun,50,Male,Hispanic,Greeley,CO,FALSE,attack,Not fleeing,FALSE
10/17/2016,sword,50,Male,Hispanic,Miami,FL,TRUE,other,Not fleeing,FALSE
6/14/2016,vehicle,50,Male,Hispanic,Boise,ID,FALSE,other,Car,TRUE
4/4/2016,knife,50,Male,Hispanic,Minneapolis,MN,TRUE,attack,Not fleeing,FALSE
1/7/2017,gun,50,Male,Hispanic,Independence,MO,TRUE,attack,Not fleeing,FALSE
2/17/2015,vehicle,50,Male,Hispanic,Del Rio,TX,FALSE,other,Not fleeing,FALSE
6/10/2016,gun,50,Male,Hispanic,Yakima,WA,FALSE,attack,Not fleeing,TRUE
12/29/2015,knife,50,Female,Other,Santa Nella,CA,TRUE,other,Not fleeing,FALSE
3/19/2018,gun,50,Male,Unknown,Utica,KY,FALSE,attack,Other,FALSE
8/20/2015,unarmed,50,Male,White,Tuscaloosa,AL,TRUE,attack,Not fleeing,FALSE
6/24/2016,gun,50,Male,White,Farmington,AR,FALSE,attack,Not fleeing,FALSE
